id,name,latitude,longitude,description
1,Brenda's French Soul Food,37.787211,-122.397065,"Fresh takes on beignets, po' boys & other Big Easy bites draw crowds to this narrow but airy spot."
2,Burma Club,37.789517,-122.396711,"From the Burma Superstar group comes this elegant, bi-level eatery for Burmese favorites & drinks."
3,Jersey Pizza,37.788696,-122.393202,"Buzzy, brick-lined Italian spot serving clever East Coast-style pies, plus craft draft beer & wine."
